stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\YU\Downloads\End-of-term\BranchPicio\FUNCTIONS\FIGHT\bin\Debug\allegro5.cfg r
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00029] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.03746] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.03754] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.03800] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.03818] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.03823] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.03828] added dtor for voice 000001e798ce3f20, func 00007fff769a5312
dtor     D               dtor.c:196  _al_register_destructor          [   0.03833] added dtor for mixer 000001e7974adb70, func 00007fff769a050f
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.03837] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.03840] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.04238] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.04262] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.04304] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.04325] added dtor for sample_instance 000001e7974ae090, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04339] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04358] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04365] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04376] added dtor for sample_instance 000001e7974ae1b0, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04395] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04409] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04417] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04426] added dtor for sample_instance 000001e7974addb0, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04434] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04440] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04447] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04454] added dtor for sample_instance 000001e7974aded0, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04461] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04467] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04473] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04480] added dtor for sample_instance 000001e7974ae5d0, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04488] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04505] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04508] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04511] added dtor for sample_instance 000001e7974ae6f0, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04514] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04519] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04524] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04530] added dtor for sample_instance 000001e7974ae810, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04542] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04545] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04548] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04551] added dtor for sample_instance 000001e7974ae930, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04554] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04557] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04559] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04562] added dtor for sample_instance 000001e7974aeb60, func 00007fff769990dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04565] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04568] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04571] 
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.04616] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.04622] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.04944] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.05571] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.05641] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.05645] al_display=000001e798cf4380
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.05647] al_display->vt=000001e798cf4210
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05812] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.05821] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05826] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05829] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05833] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05836] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05839] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05842] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05845] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05848] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05851] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.05861] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
