stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\school shit\hongan\final-allegro\End-of-term\FUNCTIONS\GAME_FRAME\bin\Debug\allegro5.cfg r
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00015] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.01513] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.01517] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.01524] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.01531] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.01532] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.01533] added dtor for voice 0000028674007510, func 00007ffe87815312
dtor     D               dtor.c:196  _al_register_destructor          [   0.01534] added dtor for mixer 00000286740076b0, func 00007ffe8781050f
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.01536] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.01537] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.01646] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.01649] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.01654] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.01655] added dtor for sample_instance 00000286740078f0, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01657] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01658] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01659] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01660] added dtor for sample_instance 00000286740089c0, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01668] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01671] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01672] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01674] added dtor for sample_instance 0000028674008ae0, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01675] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01676] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01677] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01678] added dtor for sample_instance 00000286757cc7f0, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01679] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01680] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01681] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01683] added dtor for sample_instance 000002867400e080, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01684] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01689] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01690] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01691] added dtor for sample_instance 000002867400e1a0, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01692] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01693] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01694] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01695] added dtor for sample_instance 000002867400e2c0, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01696] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01697] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01698] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01699] added dtor for sample_instance 000002867400e3e0, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01700] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01701] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01701] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.01702] added dtor for sample_instance 000002867400e610, func 00007ffe878090dc
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.01703] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01704] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.01705] 
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.01725] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.01726] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.01822] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.03158] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.03218] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.03222] al_display=00000286757ce9e0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03223] al_display->vt=00000286757ce870
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03358] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.03362] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03364] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03365] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03367] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03368] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03370] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03371] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03372] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03374] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03375] Score is : 897
